Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
White Blood Cells (Tsd./µl)†,Timepoint: T1 vs T0,-0.088,0.014,"[-0.115, -0.06]",1.87e-09,2.99e-09,☆☆☆,270
GFR (ml/min),Timepoint: T1 vs T0,-2.919,0.514,"[-3.932, -1.906]",3.66e-08,5.49e-08,☆☆☆,270
Triglycerides (mg/dl)†,Timepoint: T1 vs T0,-0.116,0.024,"[-0.164, -0.069]",2.86e-06,4.04e-06,☆☆☆,270
Immature Granulocytes abs. (Tsd./µl)†,Timepoint: T1 vs T0,-0.168,0.035,"[-0.237, -0.098]",3.29e-06,4.39e-06,☆☆☆,264
ESR (mm/h)†,Timepoint: T1 vs T0,-0.195,0.047,"[-0.287, -0.103]",3.98e-05,5.03e-05,☆☆☆,268
Platelets (Tsd./µl)†,Timepoint: T1 vs T0,-0.036,0.009,"[-0.054, -0.018]",1.11e-04,1.33e-04,☆☆☆,270
Alkaline Phosphatase (U/l),Timepoint: T1 vs T0,-1.623,0.582,"[-2.769, -0.477]",0.0057,0.0065,☆☆,270
Neutrophils abs. (Tsd./µl)†,Timepoint: T1 vs T0,-0.054,0.021,"[-0.095, -0.013]",0.0100,0.0109,☆,270
Basophils abs. (Tsd./µl)†,Timepoint: T1 vs T0,-0.058,0.023,"[-0.104, -0.012]",0.0141,0.0147,☆,270
Monocytes abs. (Tsd./µl)†,Timepoint: T1 vs T0,-0.045,0.019,"[-0.082, -0.008]",0.0180,0.0180,☆,270
Serum Glucose (mg/dl),"Fasting duration (days), centered",1.189,0.311,"[0.578, 1.8]",1.49e-04,0.0036,☆☆,270
Monocytes abs. (Tsd./µl)†,"Fasting duration (days), centered",0.009,0.004,"[0, 0.017]",0.0400,0.4806,ns,270
Ferritin (µg/l)†,"Fasting duration (days), centered",-0.017,0.01,"[-0.037, 0.004]",0.1059,0.6355,ns,270
Triglycerides (mg/dl)†,"Fasting duration (days), centered",0.009,0.005,"[-0.002, 0.019]",0.1012,0.6355,ns,270
Basophils abs. (Tsd./µl)†,"Fasting duration (days), centered",0.011,0.007,"[-0.003, 0.026]",0.1333,0.6398,ns,270
Alkaline Phosphatase (U/l),"Fasting duration (days), centered",0.138,0.274,"[-0.401, 0.677]",0.6145,0.9218,ns,270
CRP (mg/l)†,"Fasting duration (days), centered",0.01,0.016,"[-0.022, 0.042]",0.5480,0.9218,ns,270
ESR (mm/h)†,"Fasting duration (days), centered",-0.013,0.012,"[-0.037, 0.011]",0.2764,0.9218,ns,268
GOT/AST (U/l)†,"Fasting duration (days), centered",-0.004,0.006,"[-0.015, 0.008]",0.5338,0.9218,ns,270
GPT/ALT (U/l)†,"Fasting duration (days), centered",-0.007,0.006,"[-0.019, 0.005]",0.2723,0.9218,ns,270
Gamma-GT (U/l),"Fasting duration (days), centered",-0.134,0.235,"[-0.597, 0.33]",0.5712,0.9218,ns,269
HDL-C (mg/dl),"Fasting duration (days), centered",-0.113,0.2,"[-0.506, 0.28]",0.5713,0.9218,ns,270
Immature Granulocytes abs. (Tsd./µl)†,"Fasting duration (days), centered",-0.006,0.007,"[-0.02, 0.009]",0.4308,0.9218,ns,264
Lymphocytes abs. (Tsd./µl)†,"Fasting duration (days), centered",-0.002,0.004,"[-0.011, 0.006]",0.5779,0.9218,ns,270
Neutrophils abs. (Tsd./µl)†,"Fasting duration (days), centered",-0.005,0.005,"[-0.015, 0.005]",0.3425,0.9218,ns,270
Uric Acid (mg/dl),"Fasting duration (days), centered",-0.018,0.023,"[-0.064, 0.028]",0.4512,0.9218,ns,270
GFR (ml/min),"Fasting duration (days), centered",0.087,0.2,"[-0.306, 0.481]",0.6629,0.9335,ns,270
Insulin (mIU/l)†,"Fasting duration (days), centered",0.003,0.01,"[-0.016, 0.023]",0.7390,0.9335,ns,270
White Blood Cells (Tsd./µl)†,"Fasting duration (days), centered",-0.001,0.004,"[-0.009, 0.006]",0.7125,0.9335,ns,270
Eosinophils abs. (Tsd./µl)†,"Fasting duration (days), centered",-0.001,0.01,"[-0.02, 0.018]",0.9121,0.9950,ns,270
Non-HDL Cholesterol (mg/dl),"Fasting duration (days), centered",0.121,0.64,"[-1.138, 1.381]",0.8496,0.9950,ns,270
Platelets (Tsd./µl)†,"Fasting duration (days), centered",-0,0.004,"[-0.008, 0.007]",0.9100,0.9950,ns,270
LDL-C (mg/dl),"Fasting duration (days), centered",0.01,0.631,"[-1.232, 1.252]",0.9871,0.9953,ns,270
Total Cholesterol (mg/dl),"Fasting duration (days), centered",0.004,0.648,"[-1.271, 1.279]",0.9953,0.9953,ns,270
CRP (mg/l)†,"Baseline BMI (kg/m²), centered",0.102,0.012,"[0.078, 0.126]",2.95e-15,7.07e-14,☆☆☆,270
Insulin (mIU/l)†,"Baseline BMI (kg/m²), centered",0.051,0.007,"[0.038, 0.064]",1.03e-13,1.23e-12,☆☆☆,270
HDL-C (mg/dl),"Baseline BMI (kg/m²), centered",-1.126,0.156,"[-1.432, -0.82]",4.77e-12,3.82e-11,☆☆☆,270
Uric Acid (mg/dl),"Baseline BMI (kg/m²), centered",0.114,0.016,"[0.082, 0.146]",1.52e-11,9.11e-11,☆☆☆,270
ESR (mm/h)†,"Baseline BMI (kg/m²), centered",0.061,0.009,"[0.043, 0.079]",1.18e-10,5.66e-10,☆☆☆,268
Triglycerides (mg/dl)†,"Baseline BMI (kg/m²), centered",0.023,0.004,"[0.016, 0.03]",1.59e-09,6.38e-09,☆☆☆,270
GPT/ALT (U/l)†,"Baseline BMI (kg/m²), centered",0.027,0.005,"[0.018, 0.036]",2.32e-08,7.95e-08,☆☆☆,270
Gamma-GT (U/l),"Baseline BMI (kg/m²), centered",1.064,0.186,"[0.698, 1.429]",2.66e-08,7.99e-08,☆☆☆,269
White Blood Cells (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.013,0.003,"[0.007, 0.018]",5.01e-06,1.34e-05,☆☆☆,270
Alkaline Phosphatase (U/l),"Baseline BMI (kg/m²), centered",0.977,0.218,"[0.547, 1.406]",1.12e-05,2.64e-05,☆☆☆,270
Neutrophils abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.017,0.004,"[0.01, 0.025]",1.21e-05,2.64e-05,☆☆☆,270
Monocytes abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.013,0.003,"[0.007, 0.019]",3.64e-05,7.27e-05,☆☆☆,270
Ferritin (µg/l)†,"Baseline BMI (kg/m²), centered",0.031,0.008,"[0.014, 0.047]",2.70e-04,4.98e-04,☆☆☆,270
Immature Granulocytes abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.016,0.005,"[0.006, 0.025]",0.0020,0.0034,☆☆,264
Serum Glucose (mg/dl),"Baseline BMI (kg/m²), centered",0.612,0.207,"[0.206, 1.019]",0.0033,0.0053,☆☆,270
GOT/AST (U/l)†,"Baseline BMI (kg/m²), centered",0.011,0.004,"[0.003, 0.02]",0.0081,0.0122,☆,270
Lymphocytes abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.007,0.003,"[0.001, 0.014]",0.0236,0.0333,☆,270
Eosinophils abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.016,0.007,"[0.001, 0.03]",0.0370,0.0493,☆,270
GFR (ml/min),"Baseline BMI (kg/m²), centered",-0.268,0.157,"[-0.577, 0.042]",0.0894,0.1130,ns,270
Platelets (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.004,0.003,"[-0.002, 0.01]",0.1918,0.2302,ns,270
Non-HDL Cholesterol (mg/dl),"Baseline BMI (kg/m²), centered",0.619,0.493,"[-0.351, 1.59]",0.2101,0.2401,ns,270
Total Cholesterol (mg/dl),"Baseline BMI (kg/m²), centered",-0.509,0.501,"[-1.496, 0.478]",0.3109,0.3392,ns,270
LDL-C (mg/dl),"Baseline BMI (kg/m²), centered",0.412,0.484,"[-0.541, 1.365]",0.3952,0.4124,ns,270
Basophils abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.002,0.006,"[-0.009, 0.013]",0.7003,0.7003,ns,270
Immature Granulocytes abs. (Tsd./µl)†,"Age (years), centered",0.002,0.001,"[0.001, 0.004]",7.40e-04,0.0178,☆,264
GFR (ml/min),"Age (years), centered",-0.061,0.022,"[-0.105, -0.017]",0.0063,0.0757,ns,270
Monocytes abs. (Tsd./µl)†,"Age (years), centered",0.001,0,"[0, 0.002]",0.0395,0.2576,ns,270
Serum Glucose (mg/dl),"Age (years), centered",0.059,0.029,"[0.002, 0.115]",0.0429,0.2576,ns,270
Alkaline Phosphatase (U/l),"Age (years), centered",0.052,0.031,"[-0.009, 0.113]",0.0936,0.3008,ns,270
CRP (mg/l)†,"Age (years), centered",0.003,0.002,"[0, 0.006]",0.0922,0.3008,ns,270
Ferritin (µg/l)†,"Age (years), centered",0.002,0.001,"[-0.001, 0.004]",0.1309,0.3008,ns,270
GOT/AST (U/l)†,"Age (years), centered",0.001,0.001,"[0, 0.002]",0.1550,0.3008,ns,270
GPT/ALT (U/l)†,"Age (years), centered",0.001,0.001,"[0, 0.002]",0.1629,0.3008,ns,270
Gamma-GT (U/l),"Age (years), centered",0.04,0.026,"[-0.012, 0.091]",0.1322,0.3008,ns,269
HDL-C (mg/dl),"Age (years), centered",0.032,0.022,"[-0.011, 0.075]",0.1429,0.3008,ns,270
Neutrophils abs. (Tsd./µl)†,"Age (years), centered",0.001,0.001,"[0, 0.002]",0.1130,0.3008,ns,270
White Blood Cells (Tsd./µl)†,"Age (years), centered",0.001,0,"[0, 0.001]",0.1340,0.3008,ns,270
Insulin (mIU/l)†,"Age (years), centered",0.001,0.001,"[-0.001, 0.003]",0.1927,0.3304,ns,270
ESR (mm/h)†,"Age (years), centered",0.002,0.001,"[-0.001, 0.004]",0.2325,0.3651,ns,268
Total Cholesterol (mg/dl),"Age (years), centered",0.083,0.071,"[-0.057, 0.222]",0.2434,0.3651,ns,270
Platelets (Tsd./µl)†,"Age (years), centered",0,0,"[0, 0.001]",0.2841,0.4011,ns,270
Eosinophils abs. (Tsd./µl)†,"Age (years), centered",0.001,0.001,"[-0.001, 0.003]",0.4600,0.5662,ns,270
Non-HDL Cholesterol (mg/dl),"Age (years), centered",0.05,0.069,"[-0.087, 0.187]",0.4718,0.5662,ns,270
Uric Acid (mg/dl),"Age (years), centered",0.002,0.002,"[-0.003, 0.006]",0.4345,0.5662,ns,270
LDL-C (mg/dl),"Age (years), centered",0.016,0.068,"[-0.118, 0.15]",0.8126,0.9072,ns,270
Triglycerides (mg/dl)†,"Age (years), centered",0,0.001,"[-0.001, 0.001]",0.8316,0.9072,ns,270
Basophils abs. (Tsd./µl)†,"Age (years), centered",0,0.001,"[-0.002, 0.002]",0.9665,0.9665,ns,270
Lymphocytes abs. (Tsd./µl)†,"Age (years), centered",0,0,"[-0.001, 0.001]",0.9645,0.9665,ns,270
Uric Acid (mg/dl),Sex: Male (vs Female),2.242,0.167,"[1.914, 2.57]",4.51e-32,1.08e-30,☆☆☆,270
Ferritin (µg/l)†,Sex: Male (vs Female),0.676,0.081,"[0.516, 0.835]",2.41e-15,2.55e-14,☆☆☆,270
HDL-C (mg/dl),Sex: Male (vs Female),-13.053,1.569,"[-16.14, -9.965]",3.19e-15,2.55e-14,☆☆☆,270
Monocytes abs. (Tsd./µl)†,Sex: Male (vs Female),0.138,0.032,"[0.075, 0.2]",1.85e-05,1.11e-04,☆☆☆,270
Triglycerides (mg/dl)†,Sex: Male (vs Female),0.16,0.038,"[0.086, 0.234]",2.70e-05,1.30e-04,☆☆☆,270
Platelets (Tsd./µl)†,Sex: Male (vs Female),-0.124,0.029,"[-0.182, -0.066]",3.51e-05,1.41e-04,☆☆☆,270
GFR (ml/min),Sex: Male (vs Female),-5.961,1.576,"[-9.062, -2.86]",1.87e-04,6.40e-04,☆☆☆,270
