Phase,Outcome,Predictor,Term,Estimate,95% CI,P (raw),P (FDR),n_subjects,n_obs
fasting_T0T1,Ferritin (µg/l),AIP_T0,Sex: Male,0.065,"[-0.026, 0.157]",0.16022,0.48065,261,261
fasting_T0T1,Ferritin (µg/l),TyG_T0,Age,0,"[-0.001, 0.001]",0.58525,0.61968,261,261
fasting_T0T1,Ferritin (µg/l),TyG_T0,BMI (baseline),0,"[-0.008, 0.008]",0.97657,0.97657,261,261
fasting_T0T1,Ferritin (µg/l),TyG_T0,Baseline outcome (T0),0.771,"[0.719, 0.823]",4.5e-83,2.7e-82,261,261
fasting_T0T1,Ferritin (µg/l),TyG_T0,Fasting duration,0.008,"[-0.002, 0.017]",0.10677,0.12812,261,261
fasting_T0T1,Ferritin (µg/l),TyG_T0,Sex: Male,0.082,"[-0.005, 0.169]",0.06456,0.29052,261,261
fasting_T0T1,Ferritin (µg/l),TyG_T0,"TyG (T0), z",0.041,"[-0.003, 0.084]",0.06528,0.20305,261,261
fasting_T0T1,Ferritin (µg/l),logHOMA_T0,Age,0,"[-0.001, 0.001]",0.69879,0.69879,261,261
fasting_T0T1,Ferritin (µg/l),logHOMA_T0,BMI (baseline),-0.001,"[-0.009, 0.008]",0.87256,0.95153,261,261
fasting_T0T1,Ferritin (µg/l),logHOMA_T0,Baseline outcome (T0),0.778,"[0.727, 0.829]",1.5e-85,2.7e-84,261,261
fasting_T0T1,Ferritin (µg/l),logHOMA_T0,Fasting duration,0.008,"[-0.001, 0.017]",0.07819,0.10775,261,261
fasting_T0T1,Ferritin (µg/l),logHOMA_T0,Sex: Male,0.089,"[0.003, 0.175]",0.04359,0.29052,261,261
fasting_T0T1,Ferritin (µg/l),logHOMA_T0,"log(HOMA-IR) (T0), z",0.039,"[-0.003, 0.082]",0.07166,0.21498,261,261
fasting_T0T1,Monocytes abs. (Tsd./µl),AIP_T0,"AIP (T0), z",0.013,"[-0.006, 0.032]",0.17598,0.35197,256,256
fasting_T0T1,Monocytes abs. (Tsd./µl),AIP_T0,Age,0,"[0, 0.001]",0.16504,0.31413,256,256
fasting_T0T1,Monocytes abs. (Tsd./µl),AIP_T0,BMI (baseline),0.006,"[0.003, 0.009]",0.00070,0.00140,256,256
fasting_T0T1,Monocytes abs. (Tsd./µl),AIP_T0,Baseline outcome (T0),0.51,"[0.43, 0.59]",1.9e-28,4.3e-28,256,256
fasting_T0T1,Monocytes abs. (Tsd./µl),AIP_T0,Fasting duration,-0.002,"[-0.006, 0.002]",0.26129,0.27480,256,256
fasting_T0T1,Monocytes abs. (Tsd./µl),AIP_T0,Sex: Male,-0.002,"[-0.037, 0.032]",0.90209,0.95853,256,256
fasting_T0T1,Monocytes abs. (Tsd./µl),TyG_T0,Age,0,"[0, 0.001]",0.20968,0.31413,256,256
fasting_T0T1,Monocytes abs. (Tsd./µl),TyG_T0,BMI (baseline),0.006,"[0.002, 0.009]",0.00059,0.00133,256,256
fasting_T0T1,Monocytes abs. (Tsd./µl),TyG_T0,Baseline outcome (T0),0.511,"[0.432, 0.59]",9.6e-29,2.7e-28,256,256
fasting_T0T1,Monocytes abs. (Tsd./µl),TyG_T0,Fasting duration,-0.002,"[-0.006, 0.001]",0.21220,0.23873,256,256
fasting_T0T1,Monocytes abs. (Tsd./µl),TyG_T0,Sex: Male,-0,"[-0.033, 0.032]",0.99185,0.99185,256,256
fasting_T0T1,Monocytes abs. (Tsd./µl),TyG_T0,"TyG (T0), z",0.016,"[-0.001, 0.033]",0.06768,0.20305,256,256
