Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
Uric Acid (mg/dl),"End of fasting (T1), centered",0.708,0.045,"[0.618, 0.797]",2.99e-37,4.78e-37,☆☆☆,223
Basophils abs. (Tsd./µl)†,"End of fasting (T1), centered",0.837,0.053,"[0.731, 0.942]",6.47e-37,9.71e-37,☆☆☆,213
Lymphocytes abs. (Tsd./µl)†,"End of fasting (T1), centered",0.733,0.049,"[0.635, 0.83]",1.77e-34,2.50e-34,☆☆☆,219
Triglycerides (mg/dl)†,"End of fasting (T1), centered",0.666,0.046,"[0.574, 0.757]",3.96e-33,5.28e-33,☆☆☆,223
Monocytes abs. (Tsd./µl)†,"End of fasting (T1), centered",0.886,0.064,"[0.759, 1.012]",3.08e-31,3.89e-31,☆☆☆,219
White Blood Cells (Tsd./µl)†,"End of fasting (T1), centered",0.682,0.056,"[0.571, 0.792]",3.27e-26,3.92e-26,☆☆☆,219
Neutrophils abs. (Tsd./µl)†,"End of fasting (T1), centered",0.639,0.06,"[0.521, 0.757]",2.42e-21,2.76e-21,☆☆☆,208
Serum Glucose (mg/dl),"End of fasting (T1), centered",0.434,0.064,"[0.308, 0.559]",9.46e-11,1.03e-10,☆☆☆,223
Immature Granulocytes abs. (Tsd./µl)†,"End of fasting (T1), centered",0.471,0.074,"[0.324, 0.618]",2.31e-09,2.41e-09,☆☆☆,167
Insulin (mIU/l)†,"End of fasting (T1), centered",0.245,0.076,"[0.094, 0.395]",0.0015,0.0015,☆☆,223
GFR (ml/min),Diet: Keto (vs Non-Keto),3.639,0.95,"[1.766, 5.512]",1.69e-04,0.0041,☆☆,223
Uric Acid (mg/dl),Diet: Keto (vs Non-Keto),0.607,0.185,"[0.241, 0.972]",0.0012,0.0148,☆,223
Alkaline Phosphatase (U/l),Diet: Keto (vs Non-Keto),2.247,0.778,"[0.714, 3.779]",0.0043,0.0340,☆,223
CRP (mg/l)†,Diet: Keto (vs Non-Keto),0.173,0.094,"[-0.012, 0.359]",0.0669,0.4014,ns,223
