Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
CRP (mg/l)†,"Baseline (T0), centered",0.622,0.051,"[0.522, 0.722]",2.15e-27,3.68e-27,☆☆☆,259
ESR (mm/h)†,"Baseline (T0), centered",0.537,0.044,"[0.451, 0.623]",2.35e-27,3.76e-27,☆☆☆,253
White Blood Cells (Tsd./µl)†,"Baseline (T0), centered",0.629,0.057,"[0.516, 0.742]",4.22e-23,6.33e-23,☆☆☆,257
GOT/AST (U/l)†,"Baseline (T0), centered",0.579,0.057,"[0.467, 0.691]",1.63e-20,2.30e-20,☆☆☆,256
Neutrophils abs. (Tsd./µl)†,"Baseline (T0), centered",0.64,0.063,"[0.516, 0.765]",2.42e-20,3.22e-20,☆☆☆,249
Uric Acid (mg/dl),"Baseline (T0), centered",0.931,0.102,"[0.73, 1.131]",2.32e-17,2.93e-17,☆☆☆,259
Monocytes abs. (Tsd./µl)†,"Baseline (T0), centered",0.416,0.051,"[0.316, 0.517]",2.01e-14,2.30e-14,☆☆☆,254
Triglycerides (mg/dl)†,"Baseline (T0), centered",0.314,0.039,"[0.238, 0.39]",1.95e-14,2.30e-14,☆☆☆,259
Immature Granulocytes abs. (Tsd./µl)†,"Baseline (T0), centered",0.279,0.054,"[0.174, 0.385]",4.54e-07,4.95e-07,☆☆☆,212
Serum Glucose (mg/dl),"Baseline (T0), centered",0.243,0.067,"[0.112, 0.375]",3.29e-04,3.43e-04,☆☆☆,259
Insulin (mIU/l)†,"Baseline (T0), centered",0.246,0.077,"[0.096, 0.397]",0.0015,0.0015,☆☆,259
Total Cholesterol (mg/dl),"Fasting duration (days), centered",-2.502,0.448,"[-3.383, -1.62]",5.95e-08,1.43e-06,☆☆☆,259
HDL-C (mg/dl),"Fasting duration (days), centered",-0.506,0.104,"[-0.712, -0.301]",2.14e-06,1.71e-05,☆☆☆,259
LDL-C (mg/dl),"Fasting duration (days), centered",-2.279,0.466,"[-3.196, -1.362]",1.78e-06,1.71e-05,☆☆☆,259
Non-HDL Cholesterol (mg/dl),"Fasting duration (days), centered",-1.913,0.453,"[-2.804, -1.022]",3.31e-05,1.98e-04,☆☆☆,259
Neutrophils abs. (Tsd./µl)†,"Fasting duration (days), centered",-0.02,0.005,"[-0.03, -0.011]",6.40e-05,3.07e-04,☆☆☆,249
ESR (mm/h)†,"Fasting duration (days), centered",-0.036,0.009,"[-0.055, -0.018]",1.69e-04,6.76e-04,☆☆☆,253
White Blood Cells (Tsd./µl)†,"Fasting duration (days), centered",-0.011,0.003,"[-0.018, -0.005]",7.35e-04,0.0025,☆☆,257
Gamma-GT (U/l),"Fasting duration (days), centered",-0.418,0.125,"[-0.665, -0.171]",9.89e-04,0.0030,☆☆,258
CRP (mg/l)†,"Fasting duration (days), centered",-0.036,0.014,"[-0.064, -0.008]",0.0117,0.0311,☆,259
GPT/ALT (U/l)†,"Fasting duration (days), centered",0.013,0.005,"[0.003, 0.023]",0.0145,0.0347,☆,258
Platelets (Tsd./µl)†,"Fasting duration (days), centered",-0.005,0.002,"[-0.01, -0.001]",0.0227,0.0494,☆,257
Eosinophils abs. (Tsd./µl)†,"Fasting duration (days), centered",0.015,0.007,"[0.001, 0.028]",0.0309,0.0619,ns,252
Alkaline Phosphatase (U/l),"Fasting duration (days), centered",-0.265,0.144,"[-0.549, 0.019]",0.0673,0.1242,ns,259
Ferritin (µg/l)†,"Fasting duration (days), centered",0.008,0.005,"[-0.001, 0.018]",0.0793,0.1360,ns,259
Immature Granulocytes abs. (Tsd./µl)†,"Fasting duration (days), centered",-0.011,0.007,"[-0.024, 0.002]",0.1073,0.1717,ns,212
Monocytes abs. (Tsd./µl)†,"Fasting duration (days), centered",-0.006,0.004,"[-0.014, 0.002]",0.1165,0.1747,ns,254
Lymphocytes abs. (Tsd./µl)†,"Fasting duration (days), centered",-0.004,0.004,"[-0.011, 0.004]",0.3275,0.4623,ns,254
Triglycerides (mg/dl)†,"Fasting duration (days), centered",0.004,0.004,"[-0.004, 0.011]",0.3467,0.4623,ns,259
Insulin (mIU/l)†,"Fasting duration (days), centered",0.01,0.011,"[-0.013, 0.032]",0.4074,0.5146,ns,259
GOT/AST (U/l)†,"Fasting duration (days), centered",0.004,0.005,"[-0.006, 0.014]",0.4687,0.5625,ns,256
Uric Acid (mg/dl),"Fasting duration (days), centered",0.015,0.026,"[-0.037, 0.067]",0.5743,0.6564,ns,259
Serum Glucose (mg/dl),"Fasting duration (days), centered",0.1,0.288,"[-0.467, 0.668]",0.7279,0.7941,ns,259
Basophils abs. (Tsd./µl)†,"Fasting duration (days), centered",0,0.005,"[-0.01, 0.011]",0.9271,0.9279,ns,247
GFR (ml/min),"Fasting duration (days), centered",-0.011,0.123,"[-0.254, 0.232]",0.9279,0.9279,ns,259
GPT/ALT (U/l)†,"Baseline BMI (kg/m²), centered",0.024,0.004,"[0.016, 0.033]",8.07e-08,1.94e-06,☆☆☆,258
ESR (mm/h)†,"Baseline BMI (kg/m²), centered",0.04,0.008,"[0.024, 0.056]",1.62e-06,1.94e-05,☆☆☆,253
Monocytes abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.015,0.003,"[0.009, 0.022]",3.22e-06,2.58e-05,☆☆☆,254
CRP (mg/l)†,"Baseline BMI (kg/m²), centered",0.054,0.012,"[0.03, 0.078]",1.67e-05,1.00e-04,☆☆☆,259
GOT/AST (U/l)†,"Baseline BMI (kg/m²), centered",0.017,0.004,"[0.008, 0.025]",1.93e-04,9.27e-04,☆☆☆,256
Gamma-GT (U/l),"Baseline BMI (kg/m²), centered",0.31,0.109,"[0.095, 0.524]",0.0049,0.0167,☆,258
White Blood Cells (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.008,0.003,"[0.003, 0.014]",0.0047,0.0167,☆,257
HDL-C (mg/dl),"Baseline BMI (kg/m²), centered",-0.263,0.095,"[-0.45, -0.077]",0.0058,0.0175,☆,259
Insulin (mIU/l)†,"Baseline BMI (kg/m²), centered",0.027,0.011,"[0.006, 0.047]",0.0129,0.0344,☆,259
Neutrophils abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.01,0.004,"[0.001, 0.018]",0.0214,0.0513,ns,249
Total Cholesterol (mg/dl),"Baseline BMI (kg/m²), centered",-0.79,0.375,"[-1.529, -0.05]",0.0364,0.0794,ns,259
Alkaline Phosphatase (U/l),"Baseline BMI (kg/m²), centered",0.237,0.124,"[-0.007, 0.481]",0.0565,0.1086,ns,259
Immature Granulocytes abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.01,0.006,"[-0.001, 0.021]",0.0633,0.1086,ns,212
Non-HDL Cholesterol (mg/dl),"Baseline BMI (kg/m²), centered",-0.71,0.379,"[-1.457, 0.037]",0.0624,0.1086,ns,259
Lymphocytes abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.005,0.003,"[-0.001, 0.011]",0.0888,0.1421,ns,254
Platelets (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.002,0.002,"[-0.001, 0.006]",0.1909,0.2863,ns,257
Triglycerides (mg/dl)†,"Baseline BMI (kg/m²), centered",0.004,0.003,"[-0.002, 0.011]",0.2142,0.3024,ns,259
