Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
Uric Acid (mg/dl),"End of fasting (T1), centered",0.709,0.041,"[0.629, 0.79]",8.04e-43,1.29e-42,☆☆☆,223
Basophils abs. (Tsd./µl)†,"End of fasting (T1), centered",0.778,0.048,"[0.684, 0.872]",4.45e-39,6.58e-39,☆☆☆,213
Lymphocytes abs. (Tsd./µl)†,"End of fasting (T1), centered",0.689,0.042,"[0.605, 0.773]",4.66e-39,6.58e-39,☆☆☆,219
Triglycerides (mg/dl)†,"End of fasting (T1), centered",0.664,0.043,"[0.578, 0.749]",3.24e-36,4.32e-36,☆☆☆,223
Monocytes abs. (Tsd./µl)†,"End of fasting (T1), centered",0.762,0.06,"[0.644, 0.88]",5.14e-28,6.50e-28,☆☆☆,219
White Blood Cells (Tsd./µl)†,"End of fasting (T1), centered",0.585,0.05,"[0.486, 0.683]",1.07e-24,1.29e-24,☆☆☆,219
Neutrophils abs. (Tsd./µl)†,"End of fasting (T1), centered",0.543,0.053,"[0.438, 0.648]",7.18e-20,8.20e-20,☆☆☆,208
Serum Glucose (mg/dl),"End of fasting (T1), centered",0.488,0.061,"[0.368, 0.607]",5.79e-14,6.32e-14,☆☆☆,223
Immature Granulocytes abs. (Tsd./µl)†,"End of fasting (T1), centered",0.381,0.064,"[0.255, 0.507]",1.44e-08,1.50e-08,☆☆☆,167
Insulin (mIU/l)†,"End of fasting (T1), centered",0.25,0.067,"[0.118, 0.381]",2.34e-04,2.34e-04,☆☆☆,223
Ferritin (µg/l)†,"Refeeding duration (days), centered",-0.064,0.007,"[-0.077, -0.051]",2.49e-18,5.98e-17,☆☆☆,223
Uric Acid (mg/dl),"Refeeding duration (days), centered",-0.425,0.052,"[-0.527, -0.322]",2.38e-14,2.86e-13,☆☆☆,223
CRP (mg/l)†,"Refeeding duration (days), centered",-0.1,0.028,"[-0.155, -0.045]",3.78e-04,0.0023,☆☆,223
HDL-C (mg/dl),"Refeeding duration (days), centered",0.581,0.159,"[0.268, 0.894]",3.16e-04,0.0023,☆☆,223
Gamma-GT (U/l),"Refeeding duration (days), centered",-0.491,0.155,"[-0.796, -0.186]",0.0017,0.0082,☆☆,222
GOT/AST (U/l)†,"Refeeding duration (days), centered",-0.031,0.01,"[-0.051, -0.011]",0.0028,0.0112,☆,221
Serum Glucose (mg/dl),"Refeeding duration (days), centered",2.018,0.723,"[0.592, 3.443]",0.0057,0.0197,☆,223
Neutrophils abs. (Tsd./µl)†,"Refeeding duration (days), centered",-0.041,0.015,"[-0.071, -0.011]",0.0071,0.0214,☆,208
Alkaline Phosphatase (U/l),"Refeeding duration (days), centered",-0.59,0.226,"[-1.036, -0.144]",0.0098,0.0249,☆,223
White Blood Cells (Tsd./µl)†,"Refeeding duration (days), centered",-0.024,0.009,"[-0.042, -0.006]",0.0104,0.0249,☆,219
GFR (ml/min),"Refeeding duration (days), centered",0.716,0.282,"[0.16, 1.271]",0.0118,0.0258,☆,223
Insulin (mIU/l)†,"Refeeding duration (days), centered",0.069,0.033,"[0.004, 0.133]",0.0365,0.0730,ns,223
Platelets (Tsd./µl)†,"Refeeding duration (days), centered",-0.012,0.006,"[-0.023, -0.001]",0.0403,0.0743,ns,219
Triglycerides (mg/dl)†,"Refeeding duration (days), centered",0.015,0.008,"[-0.001, 0.032]",0.0736,0.1261,ns,223
ESR (mm/h)†,"Refeeding duration (days), centered",-0.029,0.024,"[-0.076, 0.018]",0.2196,0.2880,ns,219
GPT/ALT (U/l)†,"Refeeding duration (days), centered",-0.011,0.009,"[-0.029, 0.006]",0.2051,0.2880,ns,223
Immature Granulocytes abs. (Tsd./µl)†,"Refeeding duration (days), centered",-0.028,0.022,"[-0.072, 0.016]",0.2095,0.2880,ns,167
Monocytes abs. (Tsd./µl)†,"Refeeding duration (days), centered",-0.016,0.012,"[-0.04, 0.008]",0.1818,0.2880,ns,219
Non-HDL Cholesterol (mg/dl),"Refeeding duration (days), centered",-0.728,0.602,"[-1.915, 0.459]",0.2280,0.2880,ns,223
Basophils abs. (Tsd./µl)†,"Refeeding duration (days), centered",0.015,0.018,"[-0.019, 0.05]",0.3866,0.4639,ns,213
Eosinophils abs. (Tsd./µl)†,"Refeeding duration (days), centered",-0.013,0.019,"[-0.051, 0.024]",0.4815,0.5503,ns,217
Lymphocytes abs. (Tsd./µl)†,"Refeeding duration (days), centered",-0.005,0.009,"[-0.023, 0.012]",0.5545,0.6049,ns,219
LDL-C (mg/dl),"Refeeding duration (days), centered",-0.249,0.579,"[-1.39, 0.892]",0.6674,0.6964,ns,223
Total Cholesterol (mg/dl),"Refeeding duration (days), centered",-0.082,0.648,"[-1.36, 1.196]",0.8996,0.8996,ns,223
GFR (ml/min),Diet: Keto (vs Non-Keto),3.67,0.952,"[1.793, 5.547]",1.53e-04,0.0037,☆☆,223
Uric Acid (mg/dl),Diet: Keto (vs Non-Keto),0.643,0.177,"[0.293, 0.992]",3.65e-04,0.0044,☆☆,223
Alkaline Phosphatase (U/l),Diet: Keto (vs Non-Keto),2.256,0.761,"[0.756, 3.756]",0.0034,0.0270,☆,223
CRP (mg/l)†,Diet: Keto (vs Non-Keto),0.21,0.093,"[0.027, 0.392]",0.0248,0.1487,ns,223
Triglycerides (mg/dl)†,Diet: Keto (vs Non-Keto),0.048,0.029,"[-0.01, 0.105]",0.1031,0.4949,ns,223
Ferritin (µg/l)†,Diet: Keto (vs Non-Keto),-0.033,0.023,"[-0.078, 0.012]",0.1466,0.5027,ns,223
Platelets (Tsd./µl)†,Diet: Keto (vs Non-Keto),0.027,0.019,"[-0.009, 0.064]",0.1444,0.5027,ns,219
LDL-C (mg/dl),Diet: Keto (vs Non-Keto),2.6,1.968,"[-1.28, 6.48]",0.1879,0.5637,ns,223
Basophils abs. (Tsd./µl)†,Diet: Keto (vs Non-Keto),-0.065,0.055,"[-0.174, 0.044]",0.2418,0.5803,ns,213
Non-HDL Cholesterol (mg/dl),Diet: Keto (vs Non-Keto),2.519,2.045,"[-1.511, 6.549]",0.2193,0.5803,ns,223
Immature Granulocytes abs. (Tsd./µl)†,Diet: Keto (vs Non-Keto),-0.07,0.068,"[-0.204, 0.064]",0.3046,0.6092,ns,167
Total Cholesterol (mg/dl),Diet: Keto (vs Non-Keto),2.396,2.219,"[-1.978, 6.769]",0.2815,0.6092,ns,223
ESR (mm/h)†,Diet: Keto (vs Non-Keto),-0.045,0.077,"[-0.197, 0.106]",0.5550,0.9514,ns,219
Neutrophils abs. (Tsd./µl)†,Diet: Keto (vs Non-Keto),0.03,0.047,"[-0.062, 0.122]",0.5164,0.9514,ns,208
Eosinophils abs. (Tsd./µl)†,Diet: Keto (vs Non-Keto),0.017,0.063,"[-0.107, 0.142]",0.7837,0.9864,ns,217
GOT/AST (U/l)†,Diet: Keto (vs Non-Keto),0.001,0.033,"[-0.064, 0.065]",0.9864,0.9864,ns,221
GPT/ALT (U/l)†,Diet: Keto (vs Non-Keto),0.005,0.03,"[-0.054, 0.064]",0.8774,0.9864,ns,223
Gamma-GT (U/l),Diet: Keto (vs Non-Keto),0.064,0.52,"[-0.961, 1.089]",0.9027,0.9864,ns,222
HDL-C (mg/dl),Diet: Keto (vs Non-Keto),0.021,0.546,"[-1.055, 1.097]",0.9693,0.9864,ns,223
Insulin (mIU/l)†,Diet: Keto (vs Non-Keto),0.019,0.112,"[-0.201, 0.24]",0.8635,0.9864,ns,223
Lymphocytes abs. (Tsd./µl)†,Diet: Keto (vs Non-Keto),-0.011,0.029,"[-0.069, 0.047]",0.7110,0.9864,ns,219
Monocytes abs. (Tsd./µl)†,Diet: Keto (vs Non-Keto),0.003,0.039,"[-0.074, 0.079]",0.9427,0.9864,ns,219
Serum Glucose (mg/dl),Diet: Keto (vs Non-Keto),-0.648,2.485,"[-5.547, 4.25]",0.7945,0.9864,ns,223
White Blood Cells (Tsd./µl)†,Diet: Keto (vs Non-Keto),-0.012,0.029,"[-0.07, 0.046]",0.6884,0.9864,ns,219
Insulin (mIU/l)†,"Baseline BMI (kg/m²), centered",0.028,0.01,"[0.009, 0.047]",0.0038,0.0681,ns,223
Serum Glucose (mg/dl),"Baseline BMI (kg/m²), centered",0.557,0.202,"[0.158, 0.956]",0.0064,0.0681,ns,223
Uric Acid (mg/dl),"Baseline BMI (kg/m²), centered",0.04,0.015,"[0.01, 0.07]",0.0085,0.0681,ns,223
ESR (mm/h)†,"Baseline BMI (kg/m²), centered",0.017,0.007,"[0.004, 0.03]",0.0125,0.0749,ns,219
Ferritin (µg/l)†,"Baseline BMI (kg/m²), centered",0.004,0.002,"[0.001, 0.008]",0.0228,0.0913,ns,223
HDL-C (mg/dl),"Baseline BMI (kg/m²), centered",-0.116,0.05,"[-0.215, -0.017]",0.0224,0.0913,ns,223
Triglycerides (mg/dl)†,"Baseline BMI (kg/m²), centered",0.004,0.002,"[-0.001, 0.009]",0.1153,0.3955,ns,223
Total Cholesterol (mg/dl),"Baseline BMI (kg/m²), centered",-0.277,0.185,"[-0.641, 0.087]",0.1352,0.4055,ns,223
CRP (mg/l)†,"Baseline BMI (kg/m²), centered",0.01,0.008,"[-0.006, 0.027]",0.2121,0.5089,ns,223
White Blood Cells (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.003,0.003,"[-0.002, 0.008]",0.1914,0.5089,ns,219
Alkaline Phosphatase (U/l),"Baseline BMI (kg/m²), centered",0.071,0.064,"[-0.055, 0.197]",0.2698,0.5396,ns,223
Neutrophils abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.004,0.004,"[-0.003, 0.012]",0.2578,0.5396,ns,208
GFR (ml/min),"Baseline BMI (kg/m²), centered",0.063,0.077,"[-0.089, 0.216]",0.4142,0.6887,ns,223
GOT/AST (U/l)†,"Baseline BMI (kg/m²), centered",-0.002,0.003,"[-0.008, 0.003]",0.4243,0.6887,ns,221
Gamma-GT (U/l),"Baseline BMI (kg/m²), centered",0.029,0.045,"[-0.059, 0.118]",0.5147,0.6887,ns,222
Immature Granulocytes abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.004,0.005,"[-0.007, 0.014]",0.4811,0.6887,ns,167
Monocytes abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.002,0.003,"[-0.004, 0.009]",0.4848,0.6887,ns,219
Platelets (Tsd./µl)†,"Baseline BMI (kg/m²), centered",-0.001,0.002,"[-0.004, 0.002]",0.5165,0.6887,ns,219
LDL-C (mg/dl),"Baseline BMI (kg/m²), centered",-0.094,0.16,"[-0.41, 0.222]",0.5579,0.7047,ns,223
Non-HDL Cholesterol (mg/dl),"Baseline BMI (kg/m²), centered",-0.059,0.167,"[-0.388, 0.269]",0.7222,0.8667,ns,223
Basophils abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",-0.001,0.004,"[-0.01, 0.008]",0.8122,0.9275,ns,213
Eosinophils abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.001,0.005,"[-0.01, 0.011]",0.9258,0.9275,ns,217
GPT/ALT (U/l)†,"Baseline BMI (kg/m²), centered",-0,0.003,"[-0.006, 0.005]",0.8758,0.9275,ns,223
Lymphocytes abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0,0.002,"[-0.005, 0.005]",0.9275,0.9275,ns,219
GFR (ml/min),"Age (years), centered",-0.187,0.043,"[-0.273, -0.102]",2.25e-05,5.40e-04,☆☆☆,223
GOT/AST (U/l)†,"Age (years), centered",0.004,0.001,"[0.001, 0.007]",0.0035,0.0421,☆,221
GPT/ALT (U/l)†,"Age (years), centered",0.003,0.001,"[0.001, 0.005]",0.0183,0.1467,ns,223
ESR (mm/h)†,"Age (years), centered",-0.004,0.003,"[-0.01, 0.002]",0.1943,0.4379,ns,219
Eosinophils abs. (Tsd./µl)†,"Age (years), centered",-0.003,0.003,"[-0.009, 0.002]",0.1880,0.4379,ns,217
Ferritin (µg/l)†,"Age (years), centered",0.001,0.001,"[0, 0.003]",0.1346,0.4379,ns,223
Gamma-GT (U/l),"Age (years), centered",0.036,0.021,"[-0.007, 0.078]",0.0974,0.4379,ns,222
HDL-C (mg/dl),"Age (years), centered",-0.032,0.022,"[-0.075, 0.012]",0.1539,0.4379,ns,223
Lymphocytes abs. (Tsd./µl)†,"Age (years), centered",-0.002,0.001,"[-0.004, 0.001]",0.1685,0.4379,ns,219
Monocytes abs. (Tsd./µl)†,"Age (years), centered",0.002,0.002,"[-0.001, 0.006]",0.1227,0.4379,ns,219
Triglycerides (mg/dl)†,"Age (years), centered",0.002,0.001,"[-0.001, 0.004]",0.2007,0.4379,ns,223
Insulin (mIU/l)†,"Age (years), centered",-0.004,0.005,"[-0.013, 0.005]",0.3559,0.7119,ns,223
LDL-C (mg/dl),"Age (years), centered",0.056,0.08,"[-0.101, 0.214]",0.4809,0.8738,ns,223
Non-HDL Cholesterol (mg/dl),"Age (years), centered",0.055,0.084,"[-0.11, 0.22]",0.5097,0.8738,ns,223
CRP (mg/l)†,"Age (years), centered",-0.001,0.004,"[-0.008, 0.006]",0.7866,0.9152,ns,223
Immature Granulocytes abs. (Tsd./µl)†,"Age (years), centered",0.001,0.003,"[-0.005, 0.006]",0.7667,0.9152,ns,167
Neutrophils abs. (Tsd./µl)†,"Age (years), centered",0.001,0.002,"[-0.003, 0.004]",0.7119,0.9152,ns,208
Serum Glucose (mg/dl),"Age (years), centered",0.044,0.103,"[-0.159, 0.246]",0.6718,0.9152,ns,223
Total Cholesterol (mg/dl),"Age (years), centered",0.025,0.091,"[-0.155, 0.204]",0.7869,0.9152,ns,223
Uric Acid (mg/dl),"Age (years), centered",-0.002,0.007,"[-0.016, 0.012]",0.8008,0.9152,ns,223
White Blood Cells (Tsd./µl)†,"Age (years), centered",0,0.001,"[-0.002, 0.003]",0.6846,0.9152,ns,219
