Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
Total Cholesterol (mg/dl),"Baseline BMI (kg/m²), centered",-1.517,0.506,"[-2.513, -0.522]",0.0030,0.0047,☆☆,266
Serum Glucose (mg/dl),"Baseline BMI (kg/m²), centered",0.54,0.195,"[0.157, 0.923]",0.0059,0.0089,☆☆,266
Eosinophils abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.017,0.008,"[0.003, 0.032]",0.0222,0.0313,☆,265
Immature Granulocytes abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.01,0.004,"[0.001, 0.019]",0.0293,0.0391,☆,252
Lymphocytes abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.006,0.003,"[0, 0.013]",0.0483,0.0610,ns,265
GFR (ml/min),"Baseline BMI (kg/m²), centered",-0.231,0.161,"[-0.548, 0.086]",0.1523,0.1828,ns,266
Platelets (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.004,0.003,"[-0.002, 0.01]",0.1805,0.2063,ns,265
LDL-C (mg/dl),"Baseline BMI (kg/m²), centered",-0.396,0.489,"[-1.359, 0.568]",0.4195,0.4576,ns,266
Non-HDL Cholesterol (mg/dl),"Baseline BMI (kg/m²), centered",-0.308,0.501,"[-1.294, 0.677]",0.5385,0.5619,ns,266
Basophils abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",-0.001,0.006,"[-0.012, 0.011]",0.9036,0.9036,ns,265
Immature Granulocytes abs. (Tsd./µl)†,"Age (years), centered",0.003,0.001,"[0.001, 0.004]",2.35e-04,0.0056,☆☆,252
GFR (ml/min),"Age (years), centered",-0.072,0.024,"[-0.119, -0.024]",0.0031,0.0374,☆,266
Monocytes abs. (Tsd./µl)†,"Age (years), centered",0.001,0.001,"[0, 0.002]",0.0275,0.2198,ns,265
GOT/AST (U/l)†,"Age (years), centered",0.001,0.001,"[0, 0.003]",0.0440,0.2639,ns,266
Alkaline Phosphatase (U/l),"Age (years), centered",0.057,0.032,"[-0.006, 0.121]",0.0772,0.2706,ns,266
Ferritin (µg/l)†,"Age (years), centered",0.002,0.001,"[0, 0.004]",0.1128,0.2706,ns,266
GPT/ALT (U/l)†,"Age (years), centered",0.001,0.001,"[0, 0.003]",0.0924,0.2706,ns,266
Neutrophils abs. (Tsd./µl)†,"Age (years), centered",0.001,0.001,"[0, 0.002]",0.0876,0.2706,ns,263
Platelets (Tsd./µl)†,"Age (years), centered",0.001,0,"[0, 0.002]",0.1083,0.2706,ns,265
White Blood Cells (Tsd./µl)†,"Age (years), centered",0.001,0,"[0, 0.002]",0.0650,0.2706,ns,265
Gamma-GT (U/l),"Age (years), centered",0.039,0.026,"[-0.011, 0.09]",0.1273,0.2776,ns,265
Total Cholesterol (mg/dl),"Age (years), centered",0.102,0.075,"[-0.045, 0.249]",0.1730,0.3460,ns,266
Non-HDL Cholesterol (mg/dl),"Age (years), centered",0.085,0.074,"[-0.061, 0.23]",0.2538,0.4229,ns,266
Serum Glucose (mg/dl),"Age (years), centered",0.036,0.032,"[-0.027, 0.1]",0.2643,0.4229,ns,266
Triglycerides (mg/dl)†,"Age (years), centered",0.001,0,"[0, 0.001]",0.2530,0.4229,ns,266
Basophils abs. (Tsd./µl)†,"Age (years), centered",0.001,0.001,"[-0.001, 0.003]",0.3757,0.5635,ns,265
Eosinophils abs. (Tsd./µl)†,"Age (years), centered",0.001,0.001,"[-0.001, 0.003]",0.4367,0.5644,ns,265
HDL-C (mg/dl),"Age (years), centered",0.017,0.021,"[-0.024, 0.057]",0.4149,0.5644,ns,266
