Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
ESR (mm/h)†,"Baseline (T0), centered",0.524,0.044,"[0.438, 0.611]",3.47e-26,5.56e-26,☆☆☆,253
White Blood Cells (Tsd./µl)†,"Baseline (T0), centered",0.633,0.058,"[0.52, 0.747]",3.49e-23,5.23e-23,☆☆☆,257
GOT/AST (U/l)†,"Baseline (T0), centered",0.597,0.056,"[0.486, 0.708]",6.28e-22,8.87e-22,☆☆☆,256
Neutrophils abs. (Tsd./µl)†,"Baseline (T0), centered",0.641,0.063,"[0.517, 0.766]",2.32e-20,3.09e-20,☆☆☆,249
Uric Acid (mg/dl),"Baseline (T0), centered",0.957,0.103,"[0.753, 1.16]",1.00e-17,1.26e-17,☆☆☆,259
Monocytes abs. (Tsd./µl)†,"Baseline (T0), centered",0.47,0.052,"[0.368, 0.572]",4.40e-17,5.28e-17,☆☆☆,254
Triglycerides (mg/dl)†,"Baseline (T0), centered",0.33,0.04,"[0.252, 0.408]",5.43e-15,6.21e-15,☆☆☆,259
Immature Granulocytes abs. (Tsd./µl)†,"Baseline (T0), centered",0.271,0.053,"[0.165, 0.376]",9.03e-07,9.85e-07,☆☆☆,212
Insulin (mIU/l)†,"Baseline (T0), centered",0.245,0.079,"[0.09, 0.4]",0.0020,0.0021,☆☆,259
Serum Glucose (mg/dl),"Baseline (T0), centered",0.169,0.055,"[0.06, 0.278]",0.0026,0.0026,☆☆,259
Total Cholesterol (mg/dl),"Fasting duration (days), centered",-2.731,0.455,"[-3.628, -1.835]",6.81e-09,1.63e-07,☆☆☆,259
LDL-C (mg/dl),"Fasting duration (days), centered",-2.611,0.473,"[-3.543, -1.679]",8.56e-08,1.03e-06,☆☆☆,259
Non-HDL Cholesterol (mg/dl),"Fasting duration (days), centered",-2.294,0.462,"[-3.203, -1.385]",1.25e-06,9.98e-06,☆☆☆,259
ESR (mm/h)†,"Fasting duration (days), centered",-0.039,0.009,"[-0.057, -0.021]",2.88e-05,1.38e-04,☆☆☆,253
HDL-C (mg/dl),"Fasting duration (days), centered",-0.465,0.109,"[-0.678, -0.251]",2.67e-05,1.38e-04,☆☆☆,259
Neutrophils abs. (Tsd./µl)†,"Fasting duration (days), centered",-0.02,0.005,"[-0.03, -0.011]",6.62e-05,2.65e-04,☆☆☆,249
Gamma-GT (U/l),"Fasting duration (days), centered",-0.418,0.123,"[-0.66, -0.176]",7.69e-04,0.0023,☆☆,258
White Blood Cells (Tsd./µl)†,"Fasting duration (days), centered",-0.011,0.003,"[-0.018, -0.005]",7.56e-04,0.0023,☆☆,257
CRP (mg/l)†,"Fasting duration (days), centered",-0.039,0.013,"[-0.066, -0.013]",0.0039,0.0104,☆,259
GPT/ALT (U/l)†,"Fasting duration (days), centered",0.012,0.005,"[0.002, 0.022]",0.0202,0.0486,☆,258
Platelets (Tsd./µl)†,"Fasting duration (days), centered",-0.005,0.002,"[-0.01, -0.001]",0.0235,0.0514,ns,257
Eosinophils abs. (Tsd./µl)†,"Fasting duration (days), centered",0.015,0.007,"[0.002, 0.029]",0.0278,0.0556,ns,252
Ferritin (µg/l)†,"Fasting duration (days), centered",0.009,0.005,"[0, 0.018]",0.0510,0.0942,ns,259
Alkaline Phosphatase (U/l),"Fasting duration (days), centered",-0.273,0.143,"[-0.554, 0.009]",0.0574,0.0983,ns,259
Immature Granulocytes abs. (Tsd./µl)†,"Fasting duration (days), centered",-0.011,0.007,"[-0.024, 0.002]",0.0944,0.1511,ns,212
Monocytes abs. (Tsd./µl)†,"Fasting duration (days), centered",-0.005,0.004,"[-0.012, 0.003]",0.2031,0.3047,ns,254
Lymphocytes abs. (Tsd./µl)†,"Fasting duration (days), centered",-0.004,0.004,"[-0.011, 0.003]",0.2744,0.3874,ns,254
GOT/AST (U/l)†,"Fasting duration (days), centered",0.004,0.005,"[-0.007, 0.014]",0.4958,0.5956,ns,256
Triglycerides (mg/dl)†,"Fasting duration (days), centered",0.003,0.004,"[-0.005, 0.01]",0.4963,0.5956,ns,259
Uric Acid (mg/dl),"Fasting duration (days), centered",0.018,0.026,"[-0.033, 0.069]",0.4905,0.5956,ns,259
Insulin (mIU/l)†,"Fasting duration (days), centered",0.007,0.011,"[-0.015, 0.029]",0.5352,0.6116,ns,259
Serum Glucose (mg/dl),"Fasting duration (days), centered",0.06,0.288,"[-0.508, 0.628]",0.8352,0.9111,ns,259
Basophils abs. (Tsd./µl)†,"Fasting duration (days), centered",0,0.005,"[-0.01, 0.01]",0.9900,0.9913,ns,247
GFR (ml/min),"Fasting duration (days), centered",-0.001,0.125,"[-0.247, 0.245]",0.9913,0.9913,ns,259
GPT/ALT (U/l)†,"Baseline BMI (kg/m²), centered",0.024,0.004,"[0.016, 0.033]",9.47e-08,2.27e-06,☆☆☆,258
ESR (mm/h)†,"Baseline BMI (kg/m²), centered",0.039,0.008,"[0.023, 0.055]",3.86e-06,4.63e-05,☆☆☆,253
CRP (mg/l)†,"Baseline BMI (kg/m²), centered",0.059,0.013,"[0.034, 0.085]",6.27e-06,5.02e-05,☆☆☆,259
Monocytes abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.013,0.003,"[0.007, 0.019]",9.48e-05,5.69e-04,☆☆☆,254
GOT/AST (U/l)†,"Baseline BMI (kg/m²), centered",0.017,0.004,"[0.008, 0.026]",1.30e-04,6.24e-04,☆☆☆,256
Gamma-GT (U/l),"Baseline BMI (kg/m²), centered",0.296,0.108,"[0.083, 0.509]",0.0066,0.0265,☆,258
White Blood Cells (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.008,0.003,"[0.002, 0.014]",0.0096,0.0329,☆,257
HDL-C (mg/dl),"Baseline BMI (kg/m²), centered",-0.243,0.101,"[-0.441, -0.045]",0.0165,0.0492,☆,259
Insulin (mIU/l)†,"Baseline BMI (kg/m²), centered",0.025,0.011,"[0.004, 0.046]",0.0185,0.0492,☆,259
Neutrophils abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.01,0.004,"[0.001, 0.018]",0.0269,0.0645,ns,249
Lymphocytes abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.006,0.003,"[0, 0.012]",0.0524,0.1144,ns,254
Alkaline Phosphatase (U/l),"Baseline BMI (kg/m²), centered",0.236,0.125,"[-0.01, 0.482]",0.0598,0.1195,ns,259
Total Cholesterol (mg/dl),"Baseline BMI (kg/m²), centered",-0.695,0.382,"[-1.448, 0.058]",0.0703,0.1298,ns,259
Immature Granulocytes abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.009,0.006,"[-0.002, 0.02]",0.1192,0.2044,ns,212
Non-HDL Cholesterol (mg/dl),"Baseline BMI (kg/m²), centered",-0.596,0.391,"[-1.366, 0.173]",0.1282,0.2052,ns,259
Platelets (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.002,0.002,"[-0.001, 0.006]",0.1960,0.2940,ns,257
Triglycerides (mg/dl)†,"Baseline BMI (kg/m²), centered",0.004,0.003,"[-0.002, 0.011]",0.2123,0.2953,ns,259
Uric Acid (mg/dl),"Baseline BMI (kg/m²), centered",0.03,0.024,"[-0.018, 0.078]",0.2215,0.2953,ns,259
Basophils abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",-0.005,0.004,"[-0.014, 0.004]",0.2391,0.3020,ns,247
Eosinophils abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.005,0.006,"[-0.007, 0.016]",0.4098,0.4683,ns,252
Serum Glucose (mg/dl),"Baseline BMI (kg/m²), centered",0.209,0.243,"[-0.27, 0.687]",0.3915,0.4683,ns,259
Ferritin (µg/l)†,"Baseline BMI (kg/m²), centered",0.002,0.004,"[-0.005, 0.01]",0.5630,0.5875,ns,259
LDL-C (mg/dl),"Baseline BMI (kg/m²), centered",-0.237,0.4,"[-1.025, 0.55]",0.5536,0.5875,ns,259
GFR (ml/min),"Baseline BMI (kg/m²), centered",-0.022,0.105,"[-0.229, 0.186]",0.8380,0.8380,ns,259
Immature Granulocytes abs. (Tsd./µl)†,"Age (years), centered",0.003,0.001,"[0.001, 0.004]",3.12e-04,0.0075,☆☆,212
Basophils abs. (Tsd./µl)†,"Age (years), centered",0.001,0.001,"[0, 0.003]",0.0256,0.2045,ns,247
Platelets (Tsd./µl)†,"Age (years), centered",0.001,0,"[0, 0.001]",0.0180,0.2045,ns,257
Monocytes abs. (Tsd./µl)†,"Age (years), centered",0.001,0,"[0, 0.002]",0.0377,0.2264,ns,254
GOT/AST (U/l)†,"Age (years), centered",0.001,0.001,"[0, 0.002]",0.0787,0.3055,ns,256
