Phase,Outcome,Predictor,Term,Estimate,95% CI,P (raw),P (FDR),n_subjects,n_obs
refeed_T1T2,ESR (mm/h),logHOMA_T0,"log(HOMA-IR) (T0), z",0.022,"[-0.05, 0.094]",0.5463,0.9796,219,219
refeed_T1T2,Ferritin (µg/l),AIP_T0,"AIP (T0), z",-0.024,"[-0.048, 0.001]",0.0584,0.1169,223,223
refeed_T1T2,Ferritin (µg/l),AIP_T0,Age,0.001,"[-0.001, 0.003]",0.1862,0.3725,223,223
refeed_T1T2,Ferritin (µg/l),AIP_T0,BMI (baseline),0.006,"[0.002, 0.01]",0.0055,0.0871,223,223
refeed_T1T2,Ferritin (µg/l),AIP_T0,Baseline outcome (T1),1.012,"[0.98, 1.043]",8.2e-141,7.4e-140,223,223
refeed_T1T2,Ferritin (µg/l),AIP_T0,Diet: Keto,-0.032,"[-0.076, 0.013]",0.1653,0.4959,223,223
refeed_T1T2,Ferritin (µg/l),AIP_T0,Refeeding duration,-0.065,"[-0.078, -0.052]", 4.5e-19, 6.4e-18,223,223
refeed_T1T2,Ferritin (µg/l),AIP_T0,Sex: Male,0.044,"[-0.003, 0.09]",0.0653,0.7525,223,223
refeed_T1T2,Ferritin (µg/l),TyG_T0,Age,0.002,"[0, 0.004]",0.1174,0.3521,223,223
refeed_T1T2,Ferritin (µg/l),TyG_T0,BMI (baseline),0.005,"[0.001, 0.009]",0.0114,0.0871,223,223
refeed_T1T2,Ferritin (µg/l),TyG_T0,Baseline outcome (T1),1.01,"[0.979, 1.042]",5.8e-140,3.5e-139,223,223
refeed_T1T2,Ferritin (µg/l),TyG_T0,Diet: Keto,-0.033,"[-0.078, 0.011]",0.1443,0.4959,223,223
refeed_T1T2,Ferritin (µg/l),TyG_T0,Refeeding duration,-0.064,"[-0.077, -0.051]", 1.1e-18, 6.4e-18,223,223
refeed_T1T2,Ferritin (µg/l),TyG_T0,Sex: Male,0.033,"[-0.011, 0.077]",0.1412,0.7525,223,223
refeed_T1T2,Ferritin (µg/l),TyG_T0,"TyG (T0), z",-0.016,"[-0.038, 0.006]",0.1514,0.2271,223,223
refeed_T1T2,Ferritin (µg/l),logHOMA_T0,Age,0.002,"[0, 0.004]",0.1135,0.3521,223,223
refeed_T1T2,Ferritin (µg/l),logHOMA_T0,BMI (baseline),0.004,"[0, 0.008]",0.0535,0.1606,223,223
refeed_T1T2,Ferritin (µg/l),logHOMA_T0,Baseline outcome (T1),1.004,"[0.973, 1.035]",2.5e-141,4.5e-140,223,223
refeed_T1T2,Ferritin (µg/l),logHOMA_T0,Diet: Keto,-0.035,"[-0.08, 0.01]",0.1240,0.4959,223,223
refeed_T1T2,Ferritin (µg/l),logHOMA_T0,Refeeding duration,-0.065,"[-0.078, -0.052]", 9.4e-19, 6.4e-18,223,223
refeed_T1T2,Ferritin (µg/l),logHOMA_T0,Sex: Male,0.028,"[-0.016, 0.072]",0.2090,0.7525,223,223
refeed_T1T2,Ferritin (µg/l),logHOMA_T0,"log(HOMA-IR) (T0), z",-0,"[-0.022, 0.021]",0.9796,0.9796,223,223
refeed_T1T2,Monocytes abs. (Tsd./µl),AIP_T0,"AIP (T0), z",-0.013,"[-0.034, 0.009]",0.2436,0.3654,219,219
refeed_T1T2,Monocytes abs. (Tsd./µl),AIP_T0,Age,0.002,"[0, 0.003]",0.0694,0.3521,219,219
refeed_T1T2,Monocytes abs. (Tsd./µl),AIP_T0,BMI (baseline),-0.001,"[-0.005, 0.003]",0.6643,0.9025,219,219
refeed_T1T2,Monocytes abs. (Tsd./µl),AIP_T0,Baseline outcome (T1),1.064,"[0.953, 1.176]", 5.3e-47, 1.2e-46,219,219
refeed_T1T2,Monocytes abs. (Tsd./µl),AIP_T0,Diet: Keto,-0.015,"[-0.056, 0.025]",0.4574,0.5957,219,219
refeed_T1T2,Monocytes abs. (Tsd./µl),AIP_T0,Refeeding duration,0.003,"[-0.01, 0.015]",0.6812,0.6812,219,219
refeed_T1T2,Monocytes abs. (Tsd./µl),AIP_T0,Sex: Male,0.017,"[-0.024, 0.058]",0.4182,0.8119,219,219
refeed_T1T2,Monocytes abs. (Tsd./µl),TyG_T0,Age,0.002,"[0, 0.003]",0.0410,0.3521,219,219
refeed_T1T2,Monocytes abs. (Tsd./µl),TyG_T0,BMI (baseline),-0,"[-0.004, 0.003]",0.8506,0.9025,219,219
refeed_T1T2,Monocytes abs. (Tsd./µl),TyG_T0,Baseline outcome (T1),1.069,"[0.959, 1.18]", 9.4e-48, 2.4e-47,219,219
refeed_T1T2,Monocytes abs. (Tsd./µl),TyG_T0,Diet: Keto,-0.015,"[-0.055, 0.025]",0.4633,0.5957,219,219
refeed_T1T2,Monocytes abs. (Tsd./µl),TyG_T0,Refeeding duration,0.003,"[-0.009, 0.015]",0.6210,0.6812,219,219
refeed_T1T2,Monocytes abs. (Tsd./µl),TyG_T0,Sex: Male,0.017,"[-0.021, 0.055]",0.3868,0.8119,219,219
refeed_T1T2,Monocytes abs. (Tsd./µl),TyG_T0,"TyG (T0), z",-0.02,"[-0.04, -0.001]",0.0372,0.0744,219,219
refeed_T1T2,Monocytes abs. (Tsd./µl),logHOMA_T0,Age,0.002,"[0, 0.003]",0.0607,0.3521,219,219
refeed_T1T2,Monocytes abs. (Tsd./µl),logHOMA_T0,BMI (baseline),-0.002,"[-0.006, 0.002]",0.3601,0.6481,219,219
refeed_T1T2,Monocytes abs. (Tsd./µl),logHOMA_T0,Baseline outcome (T1),1.057,"[0.945, 1.169]", 2.4e-46, 4.8e-46,219,219
refeed_T1T2,Monocytes abs. (Tsd./µl),logHOMA_T0,Diet: Keto,-0.017,"[-0.058, 0.023]",0.3977,0.5957,219,219
refeed_T1T2,Monocytes abs. (Tsd./µl),logHOMA_T0,Refeeding duration,0.003,"[-0.01, 0.015]",0.6626,0.6812,219,219
refeed_T1T2,Monocytes abs. (Tsd./µl),logHOMA_T0,Sex: Male,0.007,"[-0.031, 0.044]",0.7209,0.9778,219,219
refeed_T1T2,Monocytes abs. (Tsd./µl),logHOMA_T0,"log(HOMA-IR) (T0), z",-0.001,"[-0.021, 0.018]",0.9065,0.9796,219,219
refeed_T1T2,Neutrophils abs. (Tsd./µl),AIP_T0,"AIP (T0), z",0.256,"[0.098, 0.414]",0.0016,0.0097,208,208
refeed_T1T2,Neutrophils abs. (Tsd./µl),AIP_T0,Age,0.003,"[-0.008, 0.015]",0.5716,0.9447,208,208
refeed_T1T2,Neutrophils abs. (Tsd./µl),AIP_T0,BMI (baseline),-0.004,"[-0.032, 0.024]",0.7827,0.9025,208,208
refeed_T1T2,Neutrophils abs. (Tsd./µl),AIP_T0,Baseline outcome (T1),0.467,"[0.373, 0.561]", 8.2e-19, 9.2e-19,208,208
refeed_T1T2,Neutrophils abs. (Tsd./µl),AIP_T0,Diet: Keto,0.025,"[-0.271, 0.322]",0.8669,0.8669,208,208
refeed_T1T2,Neutrophils abs. (Tsd./µl),AIP_T0,Refeeding duration,-0.117,"[-0.214, -0.02]",0.0178,0.0357,208,208
refeed_T1T2,Neutrophils abs. (Tsd./µl),AIP_T0,Sex: Male,-0.122,"[-0.42, 0.176]",0.4194,0.8119,208,208
refeed_T1T2,Neutrophils abs. (Tsd./µl),TyG_T0,Age,0.001,"[-0.011, 0.013]",0.8922,0.9447,208,208
refeed_T1T2,Neutrophils abs. (Tsd./µl),TyG_T0,BMI (baseline),0.002,"[-0.025, 0.029]",0.8797,0.9025,208,208
