Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
Uric Acid (mg/dl),"End of fasting (T1), centered",0.704,0.043,"[0.62, 0.788]",3.86e-40,6.18e-40,☆☆☆,223
Basophils abs. (Tsd./µl)†,"End of fasting (T1), centered",0.78,0.047,"[0.687, 0.874]",2.16e-39,3.25e-39,☆☆☆,213
Lymphocytes abs. (Tsd./µl)†,"End of fasting (T1), centered",0.698,0.043,"[0.614, 0.782]",2.33e-39,3.29e-39,☆☆☆,219
Triglycerides (mg/dl)†,"End of fasting (T1), centered",0.665,0.043,"[0.58, 0.751]",2.78e-36,3.70e-36,☆☆☆,223
Monocytes abs. (Tsd./µl)†,"End of fasting (T1), centered",0.762,0.059,"[0.646, 0.878]",1.35e-28,1.71e-28,☆☆☆,219
White Blood Cells (Tsd./µl)†,"End of fasting (T1), centered",0.611,0.048,"[0.518, 0.705]",2.86e-28,3.43e-28,☆☆☆,219
Neutrophils abs. (Tsd./µl)†,"End of fasting (T1), centered",0.582,0.052,"[0.479, 0.684]",6.93e-23,7.92e-23,☆☆☆,208
Serum Glucose (mg/dl),"End of fasting (T1), centered",0.384,0.057,"[0.273, 0.496]",1.02e-10,1.11e-10,☆☆☆,223
Immature Granulocytes abs. (Tsd./µl)†,"End of fasting (T1), centered",0.384,0.062,"[0.261, 0.507]",5.72e-09,5.97e-09,☆☆☆,167
Insulin (mIU/l)†,"End of fasting (T1), centered",0.254,0.067,"[0.122, 0.386]",1.90e-04,1.90e-04,☆☆☆,223
GFR (ml/min),Diet: Keto (vs Non-Keto),3.658,0.959,"[1.768, 5.548]",1.78e-04,0.0043,☆☆,223
Alkaline Phosphatase (U/l),Diet: Keto (vs Non-Keto),2.625,0.782,"[1.082, 4.167]",9.40e-04,0.0109,☆,223
Uric Acid (mg/dl),Diet: Keto (vs Non-Keto),0.598,0.184,"[0.235, 0.962]",0.0014,0.0109,☆,223
CRP (mg/l)†,Diet: Keto (vs Non-Keto),0.177,0.094,"[-0.008, 0.362]",0.0610,0.3659,ns,223
Triglycerides (mg/dl)†,Diet: Keto (vs Non-Keto),0.047,0.029,"[-0.011, 0.104]",0.1102,0.5292,ns,223
Platelets (Tsd./µl)†,Diet: Keto (vs Non-Keto),0.028,0.019,"[-0.009, 0.065]",0.1335,0.5339,ns,219
Ferritin (µg/l)†,Diet: Keto (vs Non-Keto),-0.029,0.022,"[-0.073, 0.015]",0.1929,0.6614,ns,223
Basophils abs. (Tsd./µl)†,Diet: Keto (vs Non-Keto),-0.067,0.055,"[-0.176, 0.043]",0.2301,0.6751,ns,213
