"Variable","Term","Estimate","Std. Error","95% CI","p (raw)","p (FDR)","Signif"
"Platelets (Tsd./µl)","Fasting duration (days), centered",-1.205,0.52,"-2.23 to -0.18",0.0214,0.0567,"☆"
"TG/HDL Ratio","Fasting duration (days), centered",0.027,0.012,"0.003 to 0.052",0.0305,0.0712,"☆"
"Alkaline Phosphatase (U/l)","Fasting duration (days), centered",-0.273,0.143,"-0.554 to 0.009",0.0574,0.111,""
"Eosinophils abs. (Tsd./µl)","Fasting duration (days), centered",0.002,0.001,"0 to 0.004",0.0583,0.111,""
"GPT/ALT (U/l)","Fasting duration (days), centered",0.494,0.301,"-0.099 to 1.087",0.102,0.179,""
"CRP (mg/l)","Fasting duration (days), centered",-0.099,0.063,"-0.224 to 0.025",0.118,0.191,""
"Lymphocytes abs. (Tsd./µl)","Fasting duration (days), centered",-0.007,0.006,"-0.018 to 0.004",0.23,0.343,""
"Monocytes abs. (Tsd./µl)","Fasting duration (days), centered",-0.002,0.002,"-0.006 to 0.001",0.245,0.343,""
"GOT/AST (U/l)","Fasting duration (days), centered",0.17,0.199,"-0.222 to 0.562",0.394,0.502,""
"Triglycerides (mg/dl)","Fasting duration (days), centered",0.34,0.408,"-0.464 to 1.144",0.406,0.502,""
"Uric Acid (mg/dl)","Fasting duration (days), centered",0.018,0.026,"-0.033 to 0.069",0.491,0.572,""
"Insulin (mIU/l)","Fasting duration (days), centered",-0.037,0.105,"-0.244 to 0.171",0.728,0.804,""
"Serum Glucose (mg/dl)","Fasting duration (days), centered",0.06,0.288,"-0.508 to 0.628",0.835,0.877,""
"Basophils abs. (Tsd./µl)","Fasting duration (days), centered",0,0,"-0.001 to 0",0.914,0.914,""
"GOT/AST (U/l)","T0 × BMI interaction (centered)",0.079,0.014,"0.053 to 0.106",1.71e-08,3.6e-07,"☆☆☆"
"TG/HDL Ratio","T0 × BMI interaction (centered)",-0.019,0.003,"-0.026 to -0.012",1.12e-07,1.17e-06,"☆☆☆"
"Basophils abs. (Tsd./µl)","T0 × BMI interaction (centered)",0.025,0.005,"0.014 to 0.035",5.38e-06,3.77e-05,"☆☆☆"
"Triglycerides (mg/dl)","T0 × BMI interaction (centered)",-0.015,0.004,"-0.023 to -0.008",5.82e-05,0.000306,"☆☆☆"
"ESR (mm/h)","T0 × BMI interaction (centered)",0.033,0.01,"0.014 to 0.052",0.000854,0.00359,"☆☆☆"
"GPT/ALT (U/l)","T0 × BMI interaction (centered)",0.046,0.016,"0.014 to 0.078",0.0052,0.0182,"☆☆"
"Ferritin (µg/l)","T0 × BMI interaction (centered)",0.018,0.007,"0.004 to 0.031",0.0112,0.0336,"☆"
"Monocytes abs. (Tsd./µl)","T0 × BMI interaction (centered)",0.019,0.009,"0.002 to 0.036",0.0313,0.0821,"☆"
"LDL-C (mg/dl)","T0 × BMI interaction (centered)",-0.017,0.009,"-0.034 to 0.001",0.0655,0.153,""
"Uric Acid (mg/dl)","T0 × BMI interaction (centered)",-0.02,0.014,"-0.048 to 0.008",0.168,0.354,""
"Total Cholesterol (mg/dl)","T0 × BMI interaction (centered)",-0.01,0.008,"-0.026 to 0.006",0.218,0.416,""
"Eosinophils abs. (Tsd./µl)","T0 × BMI interaction (centered)",0.006,0.005,"-0.005 to 0.016",0.272,0.463,""
"Lymphocytes abs. (Tsd./µl)","T0 × BMI interaction (centered)",-0.009,0.009,"-0.026 to 0.008",0.286,0.463,""
"CRP (mg/l)","T0 × BMI interaction (centered)",0.015,0.015,"-0.014 to 0.044",0.312,0.468,""
"Immature Granulocytes abs. (Tsd./µl)","T0 × BMI interaction (centered)",0.006,0.007,"-0.009 to 0.02",0.433,0.606,""
"Insulin (mIU/l)","T0 × BMI interaction (centered)",-0.003,0.008,"-0.019 to 0.012",0.661,0.828,""
"Neutrophils abs. (Tsd./µl)","T0 × BMI interaction (centered)",-0.005,0.011,"-0.025 to 0.016",0.671,0.828,""
"Serum Glucose (mg/dl)","T0 × BMI interaction (centered)",0.002,0.01,"-0.017 to 0.021",0.829,0.967,""
"Alkaline Phosphatase (U/l)","T0 × BMI interaction (centered)",-0.001,0.006,"-0.013 to 0.011",0.887,0.968,""
"White Blood Cells (Tsd./µl)","T0 × BMI interaction (centered)",-0.001,0.009,"-0.018 to 0.016",0.922,0.968,""
"Platelets (Tsd./µl)","T0 × BMI interaction (centered)",0,0.007,"-0.013 to 0.013",0.999,0.999,""
